iter	Passed	Remaining
531	635	558
532	635	556
533	639	558
534	641	557
535	642	556
536	643	554
537	646	555
538	648	554
539	649	553
540	650	552
541	653	552
542	654	550
543	655	549
544	656	548
545	657	546
546	660	546
547	662	546
548	663	544
549	664	543
550	667	543
551	668	542
552	669	541
553	670	539
554	671	538
555	673	537
556	674	536
557	676	535
558	677	534
559	679	534
560	681	533
561	682	532
562	683	530
563	684	529
564	685	527
565	687	527
566	688	525
567	688	524
568	689	522
569	690	520
570	690	519
571	691	517
572	693	516
573	694	515
574	696	514
575	697	513
576	697	511
577	698	509
578	699	508
579	700	506
580	700	505
581	701	504
582	703	503
583	704	502
584	705	500
585	706	498
586	707	497
587	708	496
588	708	494
589	709	493
590	710	491
591	710	489
592	711	488
593	711	486
594	712	484
595	712	483
596	713	481
597	714	480
598	715	478
599	716	477
600	716	475
601	717	474
602	718	472
603	719	471
604	722	471
605	724	470
606	725	469
607	726	468
608	727	466
609	728	465
610	730	465
611	731	463
612	732	462
613	733	460
614	733	459
615	734	457
616	735	456
617	736	455
618	737	453
619	738	452
620	739	451
621	739	449
622	741	448
623	743	447
624	744	446
625	745	445
626	745	443
627	746	442
628	747	440
629	747	439
630	748	437
631	748	436
632	749	434
633	751	433
634	752	432
635	752	430
636	753	429
637	753	427
638	754	426
639	755	424
640	755	423
641	756	421
642	756	420
643	757	418
644	759	417
645	760	416
646	761	415
647	764	415
648	765	414
649	766	412
650	767	411
651	767	409
652	768	408
653	769	406
654	769	405
655	770	403
656	770	402
657	771	400
658	772	399
659	773	398
660	774	397
661	774	395
662	775	394
663	776	392
664	776	391
665	778	390
666	780	389
667	782	388
668	782	387
669	783	385
670	784	384
671	784	383
672	785	381
673	786	380
674	787	379
675	788	377
676	789	376
677	789	375
678	790	373
679	790	372
680	791	370
681	792	369
682	792	367
683	793	366
684	794	365
685	795	364
686	796	362
687	796	361
688	797	359
689	798	358
690	799	357
691	799	356
692	800	354
693	801	353
694	802	351
695	802	350
696	803	349
697	804	348
698	805	346
699	805	345
700	806	343
701	807	342
702	807	341
703	808	340
704	809	338
705	810	337
706	811	336
707	812	334
708	812	333
709	813	332
710	813	330
711	814	329
712	815	328
713	815	326
714	817	325
715	818	324
716	818	323
717	819	321
718	820	320
719	820	319
720	821	317
721	821	316
722	822	315
723	823	313
724	824	312
725	825	311
726	825	310
727	826	308
728	827	307
729	827	306
730	828	304
731	828	303
732	829	302
733	829	300
734	830	299
735	832	298
736	832	297
737	833	295
738	834	294
739	834	293
740	835	291
741	836	290
742	836	289
743	837	288
744	837	286
745	838	285
746	839	284
747	840	283
748	841	281
749	841	280
750	842	279
751	843	278
752	843	276
753	844	275
754	844	274
755	845	273
756	847	272
757	848	270
758	848	269
759	849	268
760	850	267
761	850	265
762	851	264
763	852	263
764	852	261
765	854	260
766	854	259
767	855	258
768	856	257
769	856	255
770	857	254
771	857	253
772	858	252
773	859	250
774	860	249
775	861	248
776	862	247
777	863	246
778	863	245
779	864	243
780	865	242
781	865	241
782	866	240
783	867	238
784	868	237
785	869	236
786	869	235
787	870	234
788	870	232
789	871	231
790	872	230
791	872	229
792	874	228
793	874	226
794	876	226
795	877	224
796	878	223
797	878	222
798	879	221
799	880	220
800	880	218
801	881	217
802	882	216
803	883	215
804	884	214
805	884	212
806	885	211
807	886	210
808	888	209
809	891	209
810	892	208
811	893	206
812	894	205
813	895	204
814	895	203
815	896	202
816	897	201
817	898	199
818	900	198
819	903	198
820	910	198
821	911	197
822	913	196
823	917	196
824	918	194
825	919	193
826	920	192
827	924	192
828	925	190
829	926	189
830	930	189
831	932	188
832	932	187
833	933	185
834	934	184
835	937	183
836	939	183
837	943	182
838	946	181
839	948	180
840	951	179
841	952	178
842	953	177
843	958	177
844	959	176
845	960	174
846	962	173
847	965	173
848	966	171
849	967	170
850	972	170
851	973	169
852	976	168
853	979	167
854	980	166
855	988	166
856	996	166
857	1004	166
858	1011	166
859	1014	165
860	1017	164
861	1018	163
862	1019	161
863	1025	161
864	1026	160
865	1027	159
866	1033	158
867	1034	157
868	1041	156
869	1042	155
870	1045	154
871	1048	153
872	1049	152
873	1050	151
874	1056	150
875	1057	149
876	1060	148
877	1062	147
878	1063	146
879	1064	145
880	1064	143
881	1066	142
882	1068	141
883	1071	140
884	1073	139
885	1076	138
886	1077	137
887	1077	135
888	1095	136
889	1096	135
890	1099	134
891	1100	133
892	1100	131
893	1101	130
894	1102	129
895	1103	128
896	1105	126
897	1107	125
898	1108	124
899	1108	123
900	1109	121
901	1112	120
902	1114	119
903	1114	118
904	1115	117
905	1116	115
906	1117	114
907	1118	113
908	1118	112
909	1119	110
910	1120	109
911	1121	108
912	1124	107
913	1125	105
914	1126	104
915	1126	103
916	1127	102
917	1128	100
918	1128	99
919	1129	98
920	1130	96
921	1130	95
922	1131	94
923	1132	93
924	1133	91
925	1134	90
926	1134	89
927	1135	88
928	1136	86
929	1136	85
930	1137	84
931	1137	83
932	1138	81
933	1139	80
934	1140	79
935	1140	78
936	1141	76
937	1142	75
938	1142	74
939	1143	72
940	1143	71
941	1144	70
942	1145	69
943	1145	67
944	1146	66
945	1147	65
946	1147	64
947	1148	62
948	1149	61
949	1149	60
950	1150	59
951	1151	58
952	1151	56
953	1152	55
954	1153	54
955	1154	53
956	1155	51
957	1156	50
958	1156	49
959	1157	48
960	1157	46
961	1158	45
962	1159	44
963	1159	43
964	1160	42
965	1161	40
966	1162	39
967	1162	38
968	1163	37
969	1164	36
970	1164	34
971	1165	33
972	1166	32
973	1166	31
974	1167	29
975	1167	28
976	1168	27
977	1169	26
978	1170	25
979	1170	23
980	1171	22
981	1172	21
982	1172	20
983	1173	19
984	1173	17
985	1174	16
986	1174	15
987	1175	14
988	1176	13
989	1177	11
990	1178	10
991	1178	9
992	1179	8
993	1180	7
994	1180	5
995	1181	4
996	1181	3
997	1182	2
998	1182	1
999	1183	0
